2023-08-11 19:56:06 - User: admin, Login Attempt: SUCCESSFUL
2023-08-11 19:56:43 - User: test, Login Attempt: SUCCESSFUL
2023-08-14 20:05:49 - User: admin, Login Attempt: SUCCESSFUL
2023-08-14 20:10:27 - User: test, Login Attempt: SUCCESSFUL
2023-08-14 20:25:01 - User: test, Login Attempt: SUCCESSFUL
2023-08-15 11:16:59 - User: test, Login Attempt: SUCCESSFUL
2023-08-15 14:03:47 - User: admin, Login Attempt: SUCCESSFUL
2023-08-15 14:14:02 - User: test, Login Attempt: SUCCESSFUL
2023-08-15 14:32:49 - User: test, Login Attempt: SUCCESSFUL
2023-08-15 14:53:07 - User: admin, Login Attempt: SUCCESSFUL
2023-08-15 15:04:02 - User: test, Login Attempt: SUCCESSFUL
2023-08-15 15:09:39 - User: test, Login Attempt: SUCCESSFUL
2023-08-15 15:11:27 - User: test, Login Attempt: SUCCESSFUL
2023-08-15 15:19:07 - User: admin, Login Attempt: SUCCESSFUL
2023-08-15 15:24:08 - User: test, Login Attempt: SUCCESSFUL
2023-08-15 15:25:34 - User: test, Login Attempt: SUCCESSFUL
2023-08-15 15:28:28 - User: admin, Login Attempt: FAILED
2023-08-15 15:28:34 - User: admin, Login Attempt: SUCCESSFUL
2023-08-15 15:34:50 - User: test, Login Attempt: SUCCESSFUL
2023-08-15 15:38:38 - User: test, Login Attempt: SUCCESSFUL
2023-08-15 16:04:19 - User: test, Login Attempt: SUCCESSFUL
2023-08-15 16:26:27 - User: test, Login Attempt: SUCCESSFUL
2023-08-15 16:28:06 - User: test, Login Attempt: SUCCESSFUL
2023-08-15 16:31:14 - User: test, Login Attempt: SUCCESSFUL
2023-08-15 16:35:07 - User: test, Login Attempt: SUCCESSFUL
2023-08-15 16:54:30 - User: test, Login Attempt: SUCCESSFUL
2023-08-15 17:10:44 - User: admin, Login Attempt: SUCCESSFUL
2023-08-15 17:11:59 - User: test, Login Attempt: SUCCESSFUL
2023-08-15 17:49:33 - User: test, Login Attempt: SUCCESSFUL
2023-08-15 18:05:19 - User: test, Login Attempt: SUCCESSFUL
2023-08-15 18:26:00 - User: test, Login Attempt: SUCCESSFUL
2023-08-15 18:40:27 - User: test, Login Attempt: SUCCESSFUL
2023-08-15 20:20:27 - User: test, Login Attempt: SUCCESSFUL
2023-08-15 20:23:34 - User: test, Login Attempt: SUCCESSFUL
2023-08-15 20:41:08 - User: test, Login Attempt: SUCCESSFUL
2023-08-15 20:55:27 - User: test, Login Attempt: SUCCESSFUL
2023-08-15 20:56:55 - User: test, Login Attempt: SUCCESSFUL
2023-08-15 21:02:04 - User: test, Login Attempt: SUCCESSFUL
2023-08-15 21:17:45 - User: test, Login Attempt: SUCCESSFUL
2023-08-15 21:25:45 - User: test, Login Attempt: SUCCESSFUL
2023-08-15 21:48:41 - User: test, Login Attempt: SUCCESSFUL
2023-08-15 21:57:23 - User: test, Login Attempt: SUCCESSFUL
